DATE,SERIES,VALUE
31 Dec 2021,IUMBV42,1.59
31 Jan 2022,IUMBV42,1.63
28 Feb 2022,IUMBV42,1.79
31 Mar 2022,IUMBV42,2.11
30 Apr 2022,IUMBV42,2.35
31 May 2022,IUMBV42,2.62
30 Jun 2022,IUMBV42,2.9
31 Jul 2022,IUMBV42,3.43
31 Aug 2022,IUMBV42,3.61
30 Sep 2022,IUMBV42,3.97
31 Oct 2022,IUMBV42,5.61
30 Nov 2022,IUMBV42,5.49
31 Dec 2022,IUMBV42,5.05
31 Jan 2023,IUMBV42,4.68
28 Feb 2019,IUMZO27,1.96
31 Mar 2019,IUMZO27,1.95
30 Apr 2019,IUMZO27,1.92
31 May 2019,IUMZO27,1.93
30 Jun 2019,IUMZO27,1.93
31 Jul 2019,IUMZO27,1.88
31 Aug 2019,IUMZO27,1.82
30 Sep 2019,IUMZO27,1.75
31 Oct 2019,IUMZO27,1.69
30 Nov 2019,IUMZO27,1.63
31 Dec 2019,IUMZO27,1.61
31 Jan 2020,IUMZO27,1.61
29 Feb 2020,IUMZO27,1.59
31 Mar 2020,IUMZO27,1.57
30 Apr 2020,IUMZO27,1.57
31 May 2020,IUMZO27,1.56
30 Jun 2020,IUMZO27,1.55
31 Jul 2020,IUMZO27,1.57
31 Aug 2020,IUMZO27,1.62
30 Sep 2020,IUMZO27,1.71
31 Oct 2020,IUMZO27,1.71
30 Nov 2020,IUMZO27,1.62
31 Dec 2020,IUMZO27,1.57
31 Jan 2021,IUMZO27,1.52
28 Feb 2021,IUMZO27,1.46
31 Mar 2021,IUMZO27,1.44
30 Apr 2021,IUMZO27,1.41
31 May 2021,IUMZO27,1.35
30 Jun 2021,IUMZO27,1.3
31 Jul 2021,IUMZO27,1.25
31 Aug 2021,IUMZO27,1.17
30 Sep 2021,IUMZO27,1.11
31 Oct 2021,IUMZO27,1.14
30 Nov 2021,IUMZO27,1.39
31 Dec 2021,IUMZO27,1.5
31 Jan 2022,IUMZO27,1.54
28 Feb 2022,IUMZO27,1.74
31 Mar 2022,IUMZO27,2.03
30 Apr 2022,IUMZO27,2.29
31 May 2022,IUMZO27,2.54
30 Jun 2022,IUMZO27,2.87
31 Jul 2022,IUMZO27,3.32
31 Aug 2022,IUMZO27,3.49
30 Sep 2022,IUMZO27,3.87
31 Oct 2022,IUMZO27,5.52
30 Nov 2022,IUMZO27,5.49
31 Dec 2022,IUMZO27,4.98
31 Jan 2023,IUMZO27,4.63
